ZIP,POP,OWN_OCC,RENT_OCC,UNITS
00083,0,0,0,0
10001,25414,5716,19698,15601
10002,77925,9394,68531,36643
10003,45016,16066,28950,31069
10004,1733,245,1488,1134
10005,8865,2062,6803,5425
10006,2267,290,1977,1752
10007,8240,4054,4186,4046
10009,57663,4149,53514,30429
10010,30556,7967,22589,18796
10011,49800,19696,30104,33293
10012,22289,4883,17406,13876
10013,25023,7396,17627,13132
10014,31383,11660,19723,21724
10016,46794,12059,34735,33161
10017,16093,6129,9964,12843
10018,13537,1279,12258,9187
10019,38967,7790,31177,31269
10021,45254,20457,24797,30230
10022,30692,16233,14459,23697
10023,60784,27971,32813,41643
10024,67681,28002,39679,39147
10025,79157,22477,56680,43197
10026,41176,6601,34575,17907
10027,58091,7504,50587,25935
10028,56276,21812,34464,32991
10029,82520,4619,77901,36366
10030,30092,4330,25762,13821
10031,54501,6164,48337,20979
10032,63212,4059,59153,22860
10033,62249,5128,57121,21221
10034,43459,2847,40612,16418
10035,30472,3053,27419,14435
10036,20464,2401,18063,15230
10037,19540,1555,17985,9866
10038,20918,5533,15385,11331
10039,27871,2662,25209,12163
10040,43102,3022,40080,17102
10044,10317,1831,8486,5429
10048,2538,180,2358,1413
10065,33332,13404,19928,25066
10069,8990,2278,6712,6219
10075,18799,7807,10992,11467
10080,2538,180,2358,1413
10128,54977,18649,36328,30737
10152,393,214,179,297
10278,1547,447,1100,851
10280,10241,3108,7133,5622
10282,5644,762,4882,2900
10301,39298,19729,19569,17386
10302,17205,10301,6904,6285
10303,26337,16005,10332,9426
10304,43333,24611,18722,17490
10305,42894,29300,13594,16252
10306,46978,36065,10913,18685
10307,16154,13522,2632,5637
10308,27591,23654,3937,10513
10309,34694,30754,3940,12362
10310,24160,16011,8149,9470
10312,61734,55111,6623,22479
10314,88733,68782,19951,33194
10451,50980,5104,45876,20445
10452,78607,2446,76161,27596
10453,76459,3438,73021,27159
10454,37845,2336,35509,14053
10455,41367,3503,37864,14877
10456,90164,6918,83246,31157
10457,74314,5679,68635,26320
10458,81076,3664,77412,28577
10459,48245,5282,42963,17770
10460,55542,7031,48511,20074
10461,50118,18729,31389,20545
10462,78476,20424,58052,30772
10463,72585,21804,50781,30972
10464,5567,3950,1617,2498
10465,43073,25764,17309,16992
10466,73860,32758,41102,25312
10467,101617,15462,86155,38338
10468,76983,5701,71282,27294
10469,70518,38056,32462,23428
10470,13340,6322,7018,5955
10471,19080,10451,8629,9703
10472,68101,11297,56804,23328
10473,62226,20035,42191,21894
10474,11563,825,10738,4105
10475,41155,17296,23859,18685
11001,4097,3291,806,1400
11004,15288,12802,2486,5584
11005,1762,1688,74,1609
11040,817,446,371,358
11101,34391,5557,28834,19418
11102,33270,5241,28029,15622
11103,36353,6182,30171,17514
11104,24135,4942,19193,11445
11105,37868,11753,26115,17352
11106,40891,7912,32979,19341
11201,61262,22627,38635,31784
11203,77648,36328,41320,31870
11204,81024,33828,47196,26148
11205,42147,11440,30707,17809
11206,89847,11115,78732,33199
11207,89236,25399,63837,36089
11208,98142,28224,69918,36334
11209,68356,27580,40776,33285
11210,68791,34906,33885,24066
11211,65195,9911,55284,26834
11212,71977,11901,60076,32433
11213,66026,14421,51605,27296
11214,90102,32938,57164,32632
11215,70230,32482,37748,30771
11216,57666,14834,42832,27520
11217,39733,13429,26304,18881
11218,73360,25956,47404,25093
11219,89735,23394,66341,26878
11220,96660,23472,73188,29642
11221,77592,20052,57540,31250
11222,36964,8491,28473,19039
11223,84617,35102,49515,31705
11224,46320,13405,32915,21336
11225,61459,10749,50710,25711
11226,106458,15464,90994,42181
11228,45532,27246,18286,16645
11229,83504,43731,39773,32889
11230,86114,30232,55882,31160
11231,36023,11943,24080,16091
11232,29808,7241,22567,10262
11233,75645,21043,54602,32666
11234,98296,70667,27629,34242
11235,76711,34398,42313,34275
11236,101681,54230,47451,36689
11237,50492,6034,44458,17805
11238,51035,16683,34352,24866
11239,13424,1026,12398,6868
11249,35725,6684,29041,14135
11251,13,13,0,4
11354,57678,22661,35017,23222
11355,81925,28691,53234,30026
11356,21804,10081,11723,7516
11357,43605,33107,10498,16967
11358,38693,23241,15452,14512
11359,0,0,0,0
11360,18495,12750,5745,9034
11361,28487,17174,11313,11104
11362,17798,14505,3293,7302
11363,7792,5443,2349,2885
11364,35902,26291,9611,14136
11365,41917,22911,19006,15031
11366,12769,8874,3895,4476
11367,43584,19122,24462,16146
11368,114246,24076,90170,30377
11369,36537,19310,17227,12932
11370,27646,14572,13074,10679
11371,0,0,0,0
11372,64262,17215,47047,26397
11373,97016,31241,65775,34409
11374,43255,17091,26164,20631
11375,70892,36640,34252,34559
11377,86996,24053,62943,33215
11378,37092,20694,16398,14385
11379,37781,24299,13482,15025
11385,106162,35265,70897,38004
11411,21617,18523,3094,6770
11412,39141,29952,9189,12052
11413,45814,33644,12170,13868
11414,27839,19352,8487,11031
11415,19498,8755,10743,9323
11416,25066,12031,13035,7146
11417,31438,19493,11945,9504
11418,39776,17312,22464,12203
11419,56587,34820,21767,14600
11420,48426,34228,14198,14016
11421,43036,25603,17433,12726
11422,30227,20334,9893,9219
11423,31541,20783,10758,10178
11426,22670,17024,5646,7262
11427,23036,16241,6795,7934
11428,18323,13938,4385,5544
11429,25683,18913,6770,7342
11430,0,0,0,0
11432,62380,23462,38918,20753
11433,37916,19030,18886,12238
11434,62680,36441,26239,21371
11435,57209,22913,34296,19519
11436,21789,15949,5840,6392
11691,65776,19189,46587,23126
11692,15302,7014,8288,5755
11693,12703,6483,6220,5299
11694,20199,11358,8841,9768
11697,2885,2829,56,1806
